cases_date,cases_Province/State,cases_Country/Region,cases_Lat,cases_Long,cases_case_lat_long_id,deaths,confirmed,recovered,total_observations,country_populations_cca2,country_populations_Country,country_populations_pop2020,country_populations_dropdownData,country_populations_area,country_populations_Density,country_populations_GrowthRate,country_populations_WorldPercentage,country_populations_rank,country_populations_worldPercentage_updated,country_populations_rank_updated,cases_max_date
2020-01-22,Hubei,China,30.9756,112.2707,151,0,0,28,28,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-23,Hubei,China,30.9756,112.2707,151,0,0,28,28,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-23,Guangdong,China,23.3417,113.4244,107,0,0,2,2,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-24,Hubei,China,30.9756,112.2707,151,0,0,31,31,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-24,Guangdong,China,23.3417,113.4244,107,0,0,2,2,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-24,Zhejiang,China,29.1832,120.0934,136,0,0,1,1,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-24,Beijing,China,40.1824,116.4142,299,0,0,1,1,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-24,Shanghai,China,31.201999999999998,121.4491,155,0,0,1,1,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-25,Hubei,China,30.9756,112.2707,151,0,0,32,32,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-25,Guangdong,China,23.3417,113.4244,107,0,0,2,2,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-25,Zhejiang,China,29.1832,120.0934,136,0,0,1,1,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-25,Jiangsu,China,32.9711,119.455,171,0,0,1,1,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-25,Beijing,China,40.1824,116.4142,299,0,0,2,2,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-25,Shanghai,China,31.201999999999998,121.4491,155,0,0,1,1,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-26,Hubei,China,30.9756,112.2707,151,0,0,42,42,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-26,Guangdong,China,23.3417,113.4244,107,0,0,2,2,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-26,Zhejiang,China,29.1832,120.0934,136,0,0,1,1,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-26,Jiangsu,China,32.9711,119.455,171,0,0,1,1,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-26,Beijing,China,40.1824,116.4142,299,0,0,2,2,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-26,Shanghai,China,31.201999999999998,121.4491,155,0,0,1,1,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-27,Hubei,China,30.9756,112.2707,151,0,0,45,45,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-27,Guangdong,China,23.3417,113.4244,107,0,0,4,4,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-27,Zhejiang,China,29.1832,120.0934,136,0,0,1,1,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-27,Jiangxi,China,27.614,115.7221,128,0,0,2,2,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
2020-01-27,Jiangsu,China,32.9711,119.455,171,0,0,1,1,CN,China,1439323.7759999998,missing,9706961.0,148.2775,1.0039,0.1847,1,0.18465661493024282,1,2020-03-20
